,Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Código IBGE da Mesoregião,Nome da Mesoregião,Código IBGE da Microregião,Nome da Microregião,Área da unidade territorial,Estabelecimentos de Saúde SUS,Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010),Matrícula - Ensino fundamental - 2012,Matrícula - Ensino médio - 2012,Número de unidades locais,Pessoal ocupado total,PIB per capita a preços correntes,População residente,População residente - Homens,População residente - Mulheres,População residente alfabetizada,População residente que frequentava creche ou escola,"População residente, religião católica apostólica romana","População residente, religião espírita","População residente, religião evangélicas",Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural,Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana,"Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural","Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana"
147,231126,23,CE,Nordeste,2304,Sert§es Cearenses,23018,SertÒo de CratÚus,1040.989,15,0.594,3189,905,266,1308,3592.87,19921,9852,10069,12649,7128,17136,12,2268,113,264.4,563.54,1122.04
148,231130,23,CE,Nordeste,2304,Sert§es Cearenses,23019,SertÒo de Quixeramobim,2019.833,32,0.659,12841,4473,1387,8929,6684.18,80604,39769,40835,56656,25889,67196,401,9091,127.5,274.0,680.17,1356.01
149,231135,23,CE,Nordeste,2306,Centro-Sul Cearense,23026,Iguatu,559.561,9,0.591,2450,696,157,1226,4447.17,15000,7549,7451,9284,4418,12939,.,996,170,266.25,701.61,964.44
150,231140,23,CE,Nordeste,2304,Sert§es Cearenses,23019,SertÒo de Quixeramobim,3275.625,35,0.642,12812,3457,1074,5364,5636.26,71887,35729,36158,50878,23301,59790,103,8601,145.71,275.0,718.18,1388.81
151,231150,23,CE,Nordeste,2305,Jaguaribe,23023,Baixo Jaguaribe,612.619,13,0.622,3097,983,301,2596,39997.39,19412,9706,9706,13365,5626,17246,37,1560,200,255.0,797.82,919.67
152,231160,23,CE,Nordeste,2302,Norte Cearense,23013,BaturitÚ,225.306,29,0.626,4721,1650,331,2290,4568.47,26415,13122,13293,18587,8448,21203,56,4236,180,255.0,819.36,1124.57
153,231170,23,CE,Nordeste,2301,Noroeste Cearense,23006,Ipu,383.319,7,0.601,3312,961,202,1456,4404.16,19455,9681,9774,13172,6730,17919,5,895,126,223.33,615.73,1164.41
154,231180,23,CE,Nordeste,2305,Jaguaribe,23023,Baixo Jaguaribe,1590.214,66,0.674,11076,2913,1344,12913,7950.07,69833,34405,35428,52741,20551,58215,153,8090,237.5,340.0,931.75,1473.38
155,231190,23,CE,Nordeste,2304,Sert§es Cearenses,23020,SertÒo de Inhamuns,1383.484,10,0.575,2834,707,122,1242,3554.56,15752,7762,7990,10072,5301,13257,19,1909,107.33,234.0,552,988.48
156,231195,23,CE,Nordeste,2307,Sul Cearense,23029,Chapada do Araripe,804.356,11,0.54,3805,539,142,1551,4139.59,15453,7770,7683,8806,5849,13933,.,1235,111.67,206.25,601.27,860.4
157,231200,23,CE,Nordeste,2301,Noroeste Cearense,23005,Sobral,969.326,13,0.587,6181,1164,344,1839,4094.72,29946,15171,14775,19656,10527,27482,12,1793,47.38,172.4,538.74,1352.01
158,231210,23,CE,Nordeste,2307,Sul Cearense,23032,Cariri,855.563,7,0.612,3326,899,107,1247,4282.34,17170,8640,8530,11417,6411,15943,18,827,107.33,203.0,690.6,943.99
159,231220,23,CE,Nordeste,2301,Noroeste Cearense,23007,Santa QuitÚria,4260.479,21,0.616,7966,1993,898,3986,5197.06,42763,21441,21322,29170,14388,39629,23,2190,93.57,255.0,568.33,1119.31
160,231230,23,CE,Nordeste,2301,Noroeste Cearense,23002,Ibiapaba,338.245,18,0.611,8830,2363,770,3883,5368.16,44178,21829,22349,30476,15812,40429,.,2459,156.67,236.0,717.51,1158.58
161,231240,23,CE,Nordeste,2302,Norte Cearense,23009,Baixo Curu,834.448,22,0.665,7827,3183,557,8892,25430.88,43890,22348,21542,32519,15544,33889,26,7116,193,255.0,1034.23,1220.85
162,231250,23,CE,Nordeste,2305,Jaguaribe,23023,Baixo Jaguaribe,280.456,12,0.654,955,343,98,603,5308.22,7900,3852,4048,5659,1955,6376,39,841,217,362.67,910.46,1541.42
163,231260,23,CE,Nordeste,2302,Norte Cearense,23011,MÚdio Curu,122.42,12,0.62,2181,524,197,1001,4698.16,12332,6142,6190,8761,3660,10204,11,1636,139.67,255.0,649.8,1062.45
164,231270,23,CE,Nordeste,2304,Sert§es Cearenses,23021,SertÒo de Senador Pompeu,1002.131,19,0.619,4283,1058,478,3170,5046.47,26469,13019,13450,18225,7668,23438,35,2141,170,296.67,710.92,1113.63
165,231280,23,CE,Nordeste,2301,Noroeste Cearense,23005,Sobral,423.919,4,0.603,1314,400,89,823,4050.29,6852,3431,3421,4328,2573,6332,3,350,85.71,204.0,547.74,893.51
166,231290,23,CE,Nordeste,2301,Noroeste Cearense,23005,Sobral,2122.897,69,0.714,32348,12584,3399,44971,12472.49,188233,91462,96771,147973,68156,152731,801,23124,158.57,310.0,729.33,1803.2
167,231300,23,CE,Nordeste,2304,Sert§es Cearenses,23021,SertÒo de Senador Pompeu,1536.165,9,0.625,2472,625,294,1307,5317.44,17665,8838,8827,12279,5041,15827,.,1451,146.75,280.0,634.75,1144.77
168,231310,23,CE,Nordeste,2305,Jaguaribe,23023,Baixo Jaguaribe,861.828,15,0.645,4397,1227,631,2887,5835.82,29204,14214,14990,21335,9976,22973,49,3941,172.5,350.0,739.2,1503.29
169,231320,23,CE,Nordeste,2304,Sert§es Cearenses,23018,SertÒo de CratÚus,1961.31,16,0.58,4674,1275,305,1491,4054.25,25451,12631,12820,16109,8877,23140,37,1404,124.4,236.67,584.62,945.46
170,231325,23,CE,Nordeste,2306,Centro-Sul Cearense,23027,Vßrzea Alegre,454.391,3,0.576,1460,283,56,502,3408.1,8910,4452,4458,5624,3001,8048,.,663,150,230.0,701.55,984.19
171,231330,23,CE,Nordeste,2304,Sert§es Cearenses,23020,SertÒo de Inhamuns,4018.162,36,0.633,9665,2461,1282,4651,4964.24,55716,27357,28359,38051,19330,44495,94,7758,146.67,255.0,732.15,1302.06
172,231335,23,CE,Nordeste,2302,Norte Cearense,23011,MÚdio Curu,750.625,17,0.584,3278,652,89,1247,3211.58,16827,8608,8219,11386,6092,15409,.,1259,131,220.67,687.22,982.09
173,231340,23,CE,Nordeste,2301,Noroeste Cearense,23002,Ibiapaba,908.888,31,0.657,12825,3452,1527,7001,6548.68,68892,34175,34717,48399,25995,58951,80,7608,155.5,257.5,766.85,1824.51
174,231350,23,CE,Nordeste,2302,Norte Cearense,23008,Itapipoca,925.722,16,0.606,8663,3431,476,3314,4631.16,51422,26437,24985,36322,18022,42162,47,7773,124.4,226.67,638.93,1150.76
175,231355,23,CE,Nordeste,2302,Norte Cearense,23010,Uruburetama,202.276,7,0.606,2812,992,115,1168,3634.2,14408,7473,6935,9677,4953,12222,9,1871,109,254.0,631.54,935.5
176,231360,23,CE,Nordeste,2301,Noroeste Cearense,23002,Ibiapaba,421.033,19,0.648,5819,1621,467,3599,6147.11,31787,15760,16027,22163,10947,27907,131,2836,186.67,261.67,904.36,1460.66
177,231370,23,CE,Nordeste,2306,Centro-Sul Cearense,23028,Lavras da Mangabeira,263.93,4,0.591,1278,247,61,549,3875.98,7545,3772,3773,4724,2357,6806,.,610,155.5,200.0,676.76,898.83
178,231375,23,CE,Nordeste,2302,Norte Cearense,23010,Uruburetama,316.818,8,0.587,3208,816,119,1006,3796.96,18802,9641,9161,12436,6613,15320,.,2894,124.4,170.0,679.88,867.64
179,231380,23,CE,Nordeste,2302,Norte Cearense,23010,Uruburetama,97.072,17,0.639,3958,1246,228,3189,7107.47,19765,9925,9840,14022,6299,16693,8,2749,133.33,212.5,684.62,1166.14
180,231390,23,CE,Nordeste,2301,Noroeste Cearense,23003,Corea·,696.754,6,0.566,2326,604,156,1061,3788.32,12883,6498,6385,7872,4379,11529,4,1134,90,175.5,539.73,776.81
181,231395,23,CE,Nordeste,2301,Noroeste Cearense,23006,Ipu,179.397,7,0.611,3455,790,391,2041,5577.49,17593,8705,8888,12219,6343,14745,6,2032,125,240.0,710.25,1112.14
182,231400,23,CE,Nordeste,2306,Centro-Sul Cearense,23027,Vßrzea Alegre,835.709,17,0.629,5756,1752,543,3085,4213.55,38434,18660,19774,26187,11956,34637,28,2787,160,259.5,767.6,1040.64
183,231410,23,CE,Nordeste,2301,Noroeste Cearense,23002,Ibiapaba,1311.628,19,0.571,11758,2928,840,3044,3906.99,54955,27663,27292,35742,19485,49465,254,4024,105.5,221.13,695.74,1155.24
