,Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Código IBGE da Mesoregião,Nome da Mesoregião,Código IBGE da Microregião,Nome da Microregião,Área da unidade territorial,Estabelecimentos de Saúde SUS,Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010),Matrícula - Ensino fundamental - 2012,Matrícula - Ensino médio - 2012,Número de unidades locais,Pessoal ocupado total,PIB per capita a preços correntes,População residente,População residente - Homens,População residente - Mulheres,População residente alfabetizada,População residente que frequentava creche ou escola,"População residente, religião católica apostólica romana","População residente, religião espírita","População residente, religião evangélicas",Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural,Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana,"Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural","Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana"
76,230550,23,CE,Nordeste,2306,Centro-Sul Cearense,23026,Iguatu,1029.214,55,0.677,13738,4017,1971,14553,7906.82,96495,46425,50070,69060,26492,80641,157,11146,174,340.0,767.16,1671.72
77,230560,23,CE,Nordeste,2304,Sert§es Cearenses,23018,SertÒo de CratÚus,3218.678,20,0.632,4041,1250,454,1866,4745.8,25573,12741,12832,17684,8158,23125,29,1624,150,255.0,658.94,1207.66
78,230565,23,CE,Nordeste,2304,Sert§es Cearenses,23018,SertÒo de CratÚus,702.135,8,0.579,1826,591,139,715,3502.04,11343,5658,5685,7126,3671,10065,.,794,111.67,230.0,531.68,731.75
79,230570,23,CE,Nordeste,2306,Centro-Sul Cearense,23028,Lavras da Mangabeira,273.826,5,0.606,1853,392,207,938,4176.75,12009,5996,6013,8145,3796,10583,.,1097,200,255.0,1364.15,1265.85
80,230580,23,CE,Nordeste,2301,Noroeste Cearense,23006,Ipu,629.315,17,0.618,7272,2023,623,3494,4630.83,40296,19956,20340,27064,14160,36507,103,2364,150,255.0,733.91,1256.38
81,230590,23,CE,Nordeste,2301,Noroeste Cearense,23006,Ipu,1477.406,13,0.573,7511,1760,551,2275,4095.5,37862,18533,19329,24357,13413,34550,8,2328,127.5,225.0,580.81,979.94
82,230600,23,CE,Nordeste,2305,Jaguaribe,23025,Serra do Pereiro,821.247,11,0.652,2013,608,285,1075,5285.35,13722,6763,6959,9424,4179,12769,5,750,202.75,255.0,844.17,1249.45
83,230610,23,CE,Nordeste,2301,Noroeste Cearense,23005,Sobral,1461.253,11,0.605,4429,1292,305,1640,3958.88,22324,11347,10977,14824,7731,18418,.,3339,85,166.67,688.9,1033.39
84,230620,23,CE,Nordeste,2305,Jaguaribe,23022,Litoral de Aracati,212.109,13,0.656,1009,348,59,579,4804.72,7316,3642,3674,5421,2099,5999,20,996,250.29,272.0,791.62,1072.62
85,230625,23,CE,Nordeste,2303,Metropolitana de Fortaleza,23016,Fortaleza,151.437,20,0.626,6389,1977,397,4194,5106.64,35817,18288,17529,27166,10948,26222,182,6377,78,230.4,669.18,1140.59
86,230630,23,CE,Nordeste,2302,Norte Cearense,23010,Uruburetama,439.507,35,0.623,9366,2874,599,5991,8737.13,48350,23990,24360,34308,16220,37885,22,8910,142.44,213.2,711.15,1102.8
87,230640,23,CE,Nordeste,2302,Norte Cearense,23008,Itapipoca,1614.159,42,0.64,22062,6068,1613,10646,5398.1,116065,58243,57822,81900,41821,93634,56,16586,111.82,255.0,648.52,1306.97
88,230650,23,CE,Nordeste,2302,Norte Cearense,23013,BaturitÚ,588.699,10,0.604,3101,872,258,1090,3656.65,18626,9461,9165,12013,6446,15944,.,2424,145,218.8,693.98,924.33
89,230655,23,CE,Nordeste,2301,Noroeste Cearense,23001,Litoral de Camocim e Acara·,720.664,14,0.606,7674,2410,462,3380,5515.3,37471,19351,18120,25438,14210,31529,61,3966,140,204.0,764.57,1107.29
90,230660,23,CE,Nordeste,2302,Norte Cearense,23012,CanindÚ,783.436,11,0.562,4577,1055,193,884,3933.36,18894,9589,9305,11628,7635,16811,.,1859,127.5,182.5,698.13,898.12
91,230670,23,CE,Nordeste,2305,Jaguaribe,23024,MÚdio Jaguaribe,1759.401,6,0.612,2906,783,318,1407,5071.66,17863,9071,8792,12037,6336,16097,211,1150,138.5,250.0,649.72,1108.03
